beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
SNJ561,博孚利稳强2号,2026-08-28,1.064000,2026-08-28,1.064000,2026-08-28,1个月内,,weekly
SNL255,中舍钱江三号CTA,2026-08-28,1.024400,2026-08-28,1.024400,2026-08-28,1个月内,,weekly
SNP441,因诺天跃十七号,2026-08-28,1.179000,2026-08-28,1.179000,2026-08-28,1个月内,,weekly
SNQ470,远澜藤枫12号,2026-08-28,1.362700,2026-08-28,1.362700,2026-08-28,1个月内,,weekly
SNS807,珏朔朴道量化CTA稳健二号,2026-08-28,1.048600,2026-08-28,1.048600,2026-08-28,1个月内,,weekly
SNX234,灵涛长江1号,2026-08-28,1.460200,2026-08-28,1.460200,2026-08-28,1个月内,,weekly
SNY231,玉数顺利一号,2026-08-28,1.148700,2026-08-28,1.148700,2026-08-28,1个月内,,weekly
SNZ585,和聚彤辉平台,2026-08-28,2.505800,2026-08-28,2.505800,2026-08-28,1个月内,,weekly
SQB632,远澜红枫私享12号,2026-08-28,1.315000,2026-08-28,1.315000,2026-08-28,1个月内,,weekly
SQG419,珠池长安尊享1期,2026-08-28,1.226900,2026-08-28,1.226900,2026-08-28,1个月内,,weekly
SQK195,古木重剑无锋期权1号,2026-08-28,1.076900,2026-08-28,1.076900,2026-08-28,1个月内,,weekly
SQL607,智领善进1号,2026-08-28,1.454000,2026-08-28,1.454000,2026-08-28,1个月内,,weekly
SQM200,裕锦量化对冲3号,2026-08-28,1.090900,2026-08-28,1.090900,2026-08-28,1个月内,,weekly
SQN154,星阔自由现金流增强1号,2026-08-28,1.173600,2026-08-28,1.173600,2026-08-28,1个月内,,weekly
SQV204,福克斯-准星宙斯盾壹号,2026-08-28,2.443200,2026-08-28,2.443200,2026-08-28,1个月内,,weekly
SQY447,复熙固定收益1号,2026-08-28,1.099500,2026-08-28,1.099500,2026-08-28,1个月内,,weekly
SQY943,星阔山金江月1号私募证券投资基金,2026-08-28,1.123600,2026-08-28,1.123600,2026-08-28,1个月内,,weekly
SSB188,安诚数盈雪赢1号,2026-08-28,1.147400,2026-08-28,1.147400,2026-08-28,1个月内,,weekly
SSB534,博孚利CTA-FOF1A号,2026-08-28,1.244200,2026-08-28,1.244200,2026-08-28,1个月内,,weekly
SSE139,博孚利CTA-FOF5A号,2026-08-28,1.100000,2026-08-28,1.100000,2026-08-28,1个月内,,weekly
SSK053,理博远景1号,2026-08-28,0.976000,2026-08-28,0.976000,2026-08-28,1个月内,,weekly
SSL132,香橙资本诺亚方舟3号,2026-08-28,2.081700,2026-08-28,2.081700,2026-08-28,1个月内,,weekly
SSL658,正源信毅MF量化1号,2026-08-28,1.024000,2026-08-28,1.024000,2026-08-28,1个月内,,weekly
