备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有团队策略,现有平台策略,同系列已分类产品,是否接受,备注
STC174,微观博易-驰风私募证券投资基金,北京微观博易私募基金管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,微观博易-驰风=股票多头/指数增强/500指增,,
STC177,微观博易-春枫二号私募证券投资基金,北京微观博易私募基金管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,微观博易-春枫二号=多资产策略,,
SNA563,微观博易-春枫私募证券投资基金,北京微观博易私募基金管理有限公司,股票对冲,股票T0,,高,团队数据已有团队策略,股票对冲 / 股票T0,股票对冲 / 股票市场中性,微观博易-春枫=股票对冲/股票T0,,
SNH521,微观博易-黎夏二号私募证券投资基金,北京微观博易私募基金管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,微观博易-黎夏二号=多资产策略,,
SEL687,微观博易-黎夏十五号私募证券投资基金,北京微观博易私募基金管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,微观博易-黎夏十五号=多资产策略,,
SAQW77,唯瞻承禄六号私募证券投资基金,杭州唯瞻私募基金管理合伙企业（有限合伙）,期货策略,量化期货,,高,团队数据已有团队策略,期货策略 / 量化期货,期货策略 / 量化期货,唯瞻承禄六号=期货策略/量化期货,,
SAAD97,唯瞻一号私募证券投资基金,杭州唯瞻私募基金管理合伙企业（有限合伙）,期货策略,主观期货,能化,高,团队数据已有团队策略,期货策略 / 主观期货 / 能化,期货策略 / 主观期货,唯瞻一号=期货策略/主观期货/能化,,
SAHC98,文谛量化中证1000指数增强私募证券投资基金,上海文谛资产管理有限公司,期货策略,量化期货,,高,团队数据已有团队策略；产品名另指向股票多头/指数增强,期货策略 / 量化期货,股票多头 / 1000指增,文谛量化中证1000指数增强=期货策略/量化期货,,产品名指向股票多头/指数增强，与已有团队策略不一致
SBKN89,文睿元宝私募证券投资基金,北京文睿私募基金管理有限公司,套利策略,,,高,同系列/份额已有团队策略,,,文睿元宝私募证券投资基金A类=套利策略,,
SAJX62,稳博鹏瑞套利2号私募证券投资基金,上海稳博投资管理有限公司,套利策略,期货套利,商品套利,高,同系列/份额已有团队策略；产品名含套利,,,稳博鹏瑞套利2号私募证券投资基金B类=套利策略/期货套利/商品套利,,
SAPV41,五矿期货宏观金手指三号集合资产管理计划,五矿期货有限公司,多资产策略,宏观策略,,高,团队数据已有团队策略；产品名另指向期货策略/,多资产策略 / 宏观策略,多资产策略 / 宏观策略,五矿期货宏观金手指三号=多资产策略/宏观策略,,
SAQV78,五矿期货宏观金手指五号集合资产管理计划,五矿期货有限公司,多资产策略,宏观策略,,高,团队数据已有团队策略；产品名另指向期货策略/,多资产策略 / 宏观策略,多资产策略 / 宏观策略,五矿期货宏观金手指五号=多资产策略/宏观策略,,
SAEH44,五矿期货宏观量化股指转债一号集合资产管理计划,五矿期货有限公司,股票多头,可转债多头,,高,团队数据已有团队策略；产品名另指向多资产策略/宏观策略,股票多头 / 可转债多头,股票多头 / 可转债多头,五矿期货宏观量化股指转债一号=股票多头/可转债多头,,产品名指向多资产策略/宏观策略，与已有团队策略不一致
SAAG38,五矿期货千里马一号CTA集合资产管理计划,五矿期货有限公司,期货策略,量化期货,,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货,期货策略 / 量化期货 / 混合均衡,五矿期货千里马一号CTA=期货策略/量化期货,,
STH408,务聚多策略3期私募证券投资基金,上海务聚投资管理合伙企业（有限合伙）,股票对冲,打板,,高,团队数据已有团队策略,股票对冲 / 打板,股票对冲 / 择时对冲 / 打板,务聚多策略3期=股票对冲/打板,,
SQU231,务聚倚天八期私募证券投资基金,上海务聚投资管理合伙企业（有限合伙）,股票对冲,打板,"量化,盘中板",高,团队数据已有团队策略,"股票对冲 / 打板 / 量化,盘中板",股票对冲 / 择时对冲 / 打板,"务聚倚天八期=股票对冲/打板/量化,盘中板",,
SBHS17,务扬赤壁1号私募证券投资基金,上海务扬私募基金管理合伙企业（有限合伙）,股票对冲,打板,量化,高,团队数据已有团队策略,股票对冲 / 打板 / 量化,,务扬赤壁1号=股票对冲/打板/量化；务扬赤壁1号私募证券投资基金A类=股票对冲/打板/量化,,
SZM645,物朴建瓴二号私募证券投资基金,上海物朴资产管理合伙企业（有限合伙）,期货策略,量化期货,高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 高频,期货策略 / 量化期货 / 高频,物朴建瓴二号=期货策略/量化期货/高频,,
SAZN55,物朴青云一号私募证券投资基金,上海物朴资产管理合伙企业（有限合伙）,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头 / 量化选股,物朴青云一号=股票多头,,
STT185,物朴CTA专项FOF私募证券投资基金,上海物朴资产管理合伙企业（有限合伙）,多资产策略,FOF,,高,团队数据已有团队策略；产品名另指向期货策略/,多资产策略 / FOF,组合策略 / FOF,物朴CTA专项FOF=多资产策略/FOF,,
SJC299,汐泰锐宸2号私募证券投资基金,上海汐泰投资管理有限公司,股票多头,主观多头,"其他,价值成长",高,团队数据已有团队策略,"股票多头 / 主观多头 / 其他,价值成长","股票多头 / 主观多头 / 价值型,成长型","汐泰锐宸2号=股票多头/主观多头/其他,价值成长",,
SEP929,希格斯单利宝1号私募证券投资基金,杭州希格斯投资管理有限公司,股票对冲,股票T0,"底仓T0,程序化",高,团队数据已有团队策略,"股票对冲 / 股票T0 / 底仓T0,程序化","股票对冲 / 股票T0 / 机器T0,底仓T0","希格斯单利宝1号=股票对冲/股票T0/底仓T0,程序化",,
SJA569,希格斯旅行者1号私募证券投资基金,杭州希格斯投资管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,希格斯旅行者1号=股票多头/指数增强/500指增,,
SSD078,希格斯旅行者中证1000指数增强1号私募证券投资基金,杭州希格斯投资管理有限公司,股票多头,指数增强,"1000指增,量价,高频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,量价,高频","股票多头 / 1000指增 / 高频,量价","希格斯旅行者中证1000指数增强1号=股票多头/指数增强/1000指增,量价,高频",,
SLE315,希格斯水手2号私募证券投资基金,杭州希格斯投资管理有限公司,股票多头,指数增强,"量价,高频",高,团队数据已有团队策略,"股票多头 / 指数增强 / 量价,高频","股票多头 / 500指增 / 高频,量价","希格斯水手2号=股票多头/指数增强/量价,高频；希格斯水手3号=股票对冲/股票市场中性/500中性,量价,高频",,
SAPL25,锡和骐骥1号私募证券投资基金,锡和私募基金管理（上海）有限公司,股票对冲,打板,盘前板,高,团队数据已有团队策略,股票对冲 / 打板 / 盘前板,股票多头 / 主观多头,"锡和骐骥1号=股票对冲/打板/盘前板；锡和骐骥2号A类=股票对冲/打板/盘前板；锡和骐骥1号A类=股票对冲/打板/盘前板；锡和骐骥1号B类=股票对冲/打板/盘前板,主观",,
SBKM53,锡和鑫安商品套利1号私募证券投资基金,锡和私募基金管理（上海）有限公司,套利策略,期货套利,商品套利,高,团队数据已有团队策略；产品名含套利,套利策略 / 期货套利 / 商品套利,,,,
SSJ392,熙典基金百富1号私募证券投资基金,厦门熙典私募基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权,熙典基金百富1号=期权策略/场内期权/商品波动率,,
SB1267,熙典基金布赫拉迪1号私募证券投资基金,厦门熙典私募基金管理有限公司,股票对冲,股票T0,"ETF-T0,程序化",高,团队数据已有团队策略,"股票对冲 / 股票T0 / ETF-T0,程序化",股票对冲 / 股票市场中性,"熙典基金布赫拉迪1号=股票对冲/股票T0/ETF-T0,程序化；熙典基金布赫拉迪2号=套利策略；熙典基金布赫拉迪3号=股票对冲/股票市场中性",,
SAWV26,细水居30号私募证券投资基金,成都细水资产管理有限公司,期货策略,量化期货,,高,团队数据已有团队策略,期货策略 / 量化期货,期货策略 / 量化期货,细水居30号=期货策略/量化期货,,
SLM079,仙人掌盈沣飞扬一号私募证券投资基金,上海仙人掌私募基金管理合伙企业（有限合伙）,股票多头,主观多头,交易型,高,团队数据已有团队策略,股票多头 / 主观多头 / 交易型,股票多头 / 主观多头 / 交易型,仙人掌盈沣飞扬一号=股票多头/主观多头/交易型,,
SZP796,弦高东高9号私募证券投资基金,弦高（苏州）资产管理有限公司,套利策略,期货套利,高频套利,高,团队数据已有团队策略,套利策略 / 期货套利 / 高频套利,套利策略 / 期货套利 / 高频,弦高东高9号=套利策略/期货套利/高频套利,,
SXL726,香农金玉满堂量化选股二号私募证券投资基金,海南三亚香农私募基金管理有限公司,股票多头,另类多头,择时择股,高,团队数据已有团队策略,股票多头 / 另类多头 / 择时择股,股票多头 / 另类多头 / 择时择股,香农金玉满堂量化选股二号=股票多头/另类多头/择时择股；香农金玉满堂量化选股二号A类=股票多头/另类多头/择时择股,,
SZE555,香农元亨利贞一号私募证券投资基金,海南三亚香农私募基金管理有限公司,股票对冲,股票市场中性,"量价,高频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 量价,高频",股票对冲 / 股票市场中性,"香农元亨利贞一号=股票对冲/股票市场中性/量价,高频；香农元亨利贞一号C类=股票对冲/股票市场中性；香农元亨利贞一号A类=股票对冲/股票市场中性；香农元亨利贞一号B类=股票对冲",,
SVB166,翔云50二号私募证券投资基金,广州翔云私募基金管理有限公司,股票多头,另类多头,,高,团队数据已有团队策略,股票多头 / 另类多头,股票多头 / 另类多头,翔云50二号=股票多头/另类多头；翔云50二号A类=股票对冲；翔云50二号B类=股票多头/另类多头,,
SY6829,翔云50私募证券投资基金,广州翔云私募基金管理有限公司,股票多头,另类多头,"择时择股,主观",高,团队数据已有团队策略,"股票多头 / 另类多头 / 择时择股,主观","股票对冲 / 择时对冲 / 仓位择时,主观","翔云50=股票多头/另类多头/择时择股,主观；翔云50B类=股票多头/另类多头/择时择股,主观；翔云50A类=股票对冲/择时对冲",,
SCN223,象限1号私募投资基金,上海象限资产管理有限公司,期货策略,量化期货,"大厂,时序",高,团队数据已有团队策略,"期货策略 / 量化期货 / 大厂,时序",期货策略 / 量化期货 / 时序,"象限1号=期货策略/量化期货/大厂,时序",,
SBKP40,橡红瀚行1号私募证券投资基金,上海橡红私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,橡红瀚行1号=股票多头,,
SBJX16,橡红静水1号私募证券投资基金,上海橡红私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,橡红静水1号=股票多头,,
SBFU80,橡红启航1号私募证券投资基金,上海橡红私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,橡红启航1号=股票多头,,
SBKE24,橡红筱微1号私募证券投资基金,上海橡红私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,橡红筱微1号=股票多头,,
SVU423,小步一路向北科技成长私募证券投资基金,小步私募基金管理（海南）有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,小步一路向北科技成长=股票多头/主观多头；小步一路向北科技成长B类=股票多头/主观多头,,
SLA613,小黑妞沪深300指数增强1号私募证券投资基金,上海小黑妞资产管理有限公司,股票多头,另类多头,衍生品,高,团队数据已有团队策略；产品名含300指增,股票多头 / 另类多头 / 衍生品,股票多头 / 300指增,小黑妞沪深300指数增强1号=股票多头/另类多头/衍生品,,
SL9129,孝庸鲲鹏一号1期私募投资基金,上海孝庸私募基金管理有限公司,期货策略,量化期货,中高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 中高频,期货策略 / 量化期货 / 中高频,孝庸鲲鹏一号1期=期货策略/量化期货/中高频,,
SZA590,新伯霖健康成长1号聚配专享私募证券投资基金,上海新伯霖私募基金管理有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,新伯霖健康成长1号聚配专享=股票多头/主观多头,,
STZ565,新伯霖健康成长1号私募证券投资基金B期,上海新伯霖私募基金管理有限公司,股票多头,主观多头,"交易型,行业主题型",高,团队数据已有团队策略,"股票多头 / 主观多头 / 交易型,行业主题型",股票多头 / 主观多头,"新伯霖健康成长1号B期=股票多头/主观多头/交易型,行业主题型",,
SB8201,新策略水豚1号私募证券投资基金,前海新策略投资管理（深圳）有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,新策略水豚1号=股票多头/主观多头,,
SLX793,新湖期货博胜1号集合资产管理计划,新湖期货股份有限公司,期货策略,主观期货,,高,团队数据已有团队策略；产品名含期货,期货策略 / 主观期货,期货策略 / 主观期货,新湖期货博胜1号=期货策略/主观期货；新湖期货博胜7号=期货策略/主观期货,,
SB5876,新湖期货云启周周开1号集合资产管理计划,新湖期货股份有限公司,债券策略,利率债,,高,团队数据已有团队策略；产品名另指向期货策略/,债券策略 / 利率债,债券策略 / 利率债,新湖期货云启周周开1号=债券策略/利率债,,
SSG550,新湖长盈聚星FOF1期集合资产管理计划,新湖期货股份有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,新湖长盈聚星FOF1期=多资产策略/FOF,,
SLP773,新凰量化七号私募证券投资基金,上海顾锝私募基金管理有限公司,股票对冲,打板,"主观,盘中板",高,团队数据已有团队策略,"股票对冲 / 打板 / 主观,盘中板",股票对冲 / 择时对冲 / 打板,"新凰量化七号=股票对冲/打板/主观,盘中板",,
SAZD95,新时代共赢安胜达1号私募证券投资基金,海南时代共赢私募基金管理合伙企业（有限合伙）,股票多头,另类多头,择时择股,高,团队数据已有团队策略,股票多头 / 另类多头 / 择时择股,股票多头,新时代共赢安胜达1号=股票多头/另类多头/择时择股,,
SGH612,歆享海盈13号私募证券投资基金,上海歆享资产管理有限公司,期货策略,量化期货,中高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 中高频,期货策略 / 量化期货 / 中高频,歆享海盈13号=期货策略/量化期货/中高频；歆享海盈9号=期货策略/量化期货/中高频,,
SR5496,歆享资产稳健一号私募投资基金,上海歆享资产管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 期货套利,歆享资产稳健一号=套利策略,,
SAYC37,鑫鼎恒远1号私募证券投资基金,深圳市鑫鼎私募证券基金管理有限公司,套利策略,期权套利,,高,团队数据已有团队策略,套利策略 / 期权套利,套利策略 / 期权套利,鑫鼎恒远1号=套利策略/期权套利,,
SSY972,鑫鼎盘口一号私募证券投资基金,深圳市鑫鼎私募证券基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权 / 中性波动率交易,鑫鼎盘口一号=期权策略/场内期权/商品波动率,,
SSA947,鑫鼎长风套利1号私募证券投资基金,深圳市鑫鼎私募证券基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略；产品名另指向套利策略/,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权 / 中性波动率交易,鑫鼎长风套利1号=期权策略/场内期权/商品波动率；鑫鼎长风套利1号B类=期权策略/场内期权/金融卖波；鑫鼎长风套利2号=期权策略/场内期权/商品波动率,,
SXZ339,鑫鼎长风套利2号私募证券投资基金,深圳市鑫鼎私募证券基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略；产品名另指向套利策略/,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权 / 定价卖波,鑫鼎长风套利2号=期权策略/场内期权/商品波动率；鑫鼎长风套利1号B类=期权策略/场内期权/金融卖波；鑫鼎长风套利1号=期权策略/场内期权/商品波动率,,
SZQ064,信弘沪深300指数增强1号私募证券投资基金,北京信弘天禾资产管理中心（有限合伙）,股票多头,指数增强,300指增,高,团队数据已有团队策略；产品名含300指增,股票多头 / 指数增强 / 300指增,股票多头 / 300指增,信弘沪深300指数增强1号=股票多头/指数增强/300指增,,
SXA680,信弘兴泰中证1000一号量化私募证券投资基金,北京信弘天禾资产管理中心（有限合伙）,股票多头,指数增强,1000指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 1000指增,股票多头 / 1000指增,信弘兴泰中证1000一号量化=股票多头/指数增强/1000指增,,
SVD712,信弘征程18号1期私募证券投资基金,北京信弘天禾资产管理中心（有限合伙）,股票多头,指数增强,空气指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 空气指增,股票多头 / 量化选股,信弘征程18号1期=股票多头/指数增强/空气指增,,
SNU219,信淮金锝300指数增强1号私募证券投资基金,上海金锝私募基金管理有限公司,股票多头,指数增强,300指增,高,团队数据已有团队策略；产品名含指增/指数增强,股票多头 / 指数增强 / 300指增,股票多头 / 300指增,信淮金锝300指数增强1号=股票多头/指数增强/300指增,,
SGT135,信伟达辰星量化1号私募证券投资基金,北京信伟达资产管理有限公司,期货策略,量化期货,中高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 中高频,期货策略 / 量化期货 / 中高频,信伟达辰星量化1号=期货策略/量化期货/中高频,,
SBQW60,星汇开阳旗舰一号私募证券投资基金,江苏星汇私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,星汇开阳旗舰一号=股票多头,,
SBQB53,星汇天权旗舰一号私募证券投资基金,江苏星汇私募基金管理有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,期权策略 / 场内期权 / 中性波动率交易,星汇天权旗舰一号=期权策略/场内期权/期权套利,,
SAUK54,星坤星辰2号私募证券投资基金,上海星坤私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,星坤星辰2号=股票多头；星坤星辰5号=期权策略/场内期权/期权套利；星坤星辰1号=期权策略/场内期权/期权套利,,
SAXU69,星坤星辰5号私募证券投资基金,上海星坤私募基金管理有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,期权策略 / 场内期权,星坤星辰5号=期权策略/场内期权/期权套利；星坤星辰1号=期权策略/场内期权/期权套利；星坤星辰2号=股票多头,,
SBAP55,星坤星途1号私募证券投资基金,上海星坤私募基金管理有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,股票多头,星坤星途1号=期权策略/场内期权/期权套利,,
SNW169,星阔江月2号私募证券投资基金,星阔（青岛）投资管理有限公司,股票对冲,股票市场中性,"量价,高频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 量价,高频","股票对冲 / 股票市场中性 / 高频,量价","星阔江月2号=股票对冲/股票市场中性/量价,高频；星阔江月2号B类=股票对冲/打板/盘中板,排板",,
SQY943,星阔山金江月1号私募证券投资基金,星阔（青岛）投资管理有限公司,股票对冲,打板,"盘中板,排板",高,团队数据已有团队策略,"股票对冲 / 打板 / 盘中板,排板",股票对冲 / 股票市场中性,"星阔山金江月1号=股票对冲/打板/盘中板,排板",,
SNU704,星阔云起1号中证1000指数增强私募证券投资基金,星阔（青岛）投资管理有限公司,股票对冲,股票市场中性,"500中性,量价,中频",高,团队数据已有团队策略；产品名另指向股票多头/指数增强,"股票对冲 / 股票市场中性 / 500中性,量价,中频","股票对冲 / 股票市场中性 / 中频,量价,500中性","星阔云起1号中证1000指数增强=股票对冲/股票市场中性/500中性,量价,中频",,产品名指向股票多头/指数增强，与已有团队策略不一致
SAHC12,星云至恒安星私募证券投资基金,星云至恒（厦门）私募基金管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 基金套利 / ETF套利,星云至恒安星=套利策略,,
SADY19,兴业熙典贵金属私募证券投资基金,厦门熙典私募基金管理有限公司,套利策略,期货套利,跨市场套利,高,团队数据已有团队策略,套利策略 / 期货套利 / 跨市场套利,套利策略 / 期货套利 / 跨市场套利,兴业熙典贵金属=套利策略/期货套利/跨市场套利,,
STY181,旭辉创值系列私募证券投资基金,深圳前海旭辉资产管理有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,旭辉创值系列=股票多头/主观多头,,
SXR146,旭诺行稳致远1号私募证券投资基金,上海旭诺资产管理有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货,旭诺行稳致远1号=期货策略/量化期货/股指；旭诺行稳致远1号A类=期货策略/量化期货/股指,,
SZD838,煦荣二号私募证券投资基金,上海煦荣投资管理有限公司,套利策略,期权套利,,高,团队数据已有团队策略,套利策略 / 期权套利,套利策略 / 期权套利,煦荣二号=套利策略/期权套利,,
SR4469,宣夜投资启明一号私募证券投资基金,上海宣夜投资管理有限公司,期货策略,量化期货,,高,团队数据已有团队策略,期货策略 / 量化期货,期货策略 / 量化期货 / 时序,宣夜投资启明一号=期货策略/量化期货,,
SY3463,玄元元丰18号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头 / 量化选股,玄元元丰18号=股票多头；玄元元丰21号A类=股票多头/主观多头；玄元元丰2号=股票多头/主观多头；玄元元丰26号=股票多头；玄元元丰21号=股票多头/主观多头,,
SQE472,玄元元丰21号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,玄元元丰21号=股票多头/主观多头；玄元元丰18号=股票多头；玄元元丰21号A类=股票多头/主观多头；玄元元丰2号=股票多头/主观多头；玄元元丰26号=股票多头,,
STH225,玄元元丰26号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头 / 量化选股,玄元元丰26号=股票多头；玄元元丰18号=股票多头；玄元元丰21号A类=股票多头/主观多头；玄元元丰2号=股票多头/主观多头；玄元元丰21号=股票多头/主观多头,,
SALB47,玄元元昇2号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,玄元元昇2号=股票对冲/股票市场中性,,
SSH103,玄元元增10号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,指数增强,1000指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 1000指增,股票多头 / 1000指增,"玄元元增10号=股票多头/指数增强/1000指增；玄元元增15号=股票多头/指数增强/1000指增；玄元元增1号=股票多头/指数增强/500指增,基本面；玄元元增2号=股票多头/指数增强/500指增；玄元元增7号=股票多头/指数增强/300指增",,
STS025,玄元元增15号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,指数增强,1000指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 1000指增,股票多头 / 1000指增,"玄元元增15号=股票多头/指数增强/1000指增；玄元元增10号=股票多头/指数增强/1000指增；玄元元增1号=股票多头/指数增强/500指增,基本面；玄元元增2号=股票多头/指数增强/500指增；玄元元增7号=股票多头/指数增强/300指增",,
SGB162,玄元元增1号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,指数增强,"500指增,基本面",高,团队数据已有团队策略,"股票多头 / 指数增强 / 500指增,基本面",股票多头 / 500指增 / 基本面,"玄元元增1号=股票多头/指数增强/500指增,基本面；玄元元增15号=股票多头/指数增强/1000指增；玄元元增10号=股票多头/指数增强/1000指增；玄元元增2号=股票多头/指数增强/500指增；玄元元增7号=股票多头/指数增强/300指增",,
SQY155,玄元元增2号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,"玄元元增2号=股票多头/指数增强/500指增；玄元元增15号=股票多头/指数增强/1000指增；玄元元增10号=股票多头/指数增强/1000指增；玄元元增1号=股票多头/指数增强/500指增,基本面；玄元元增7号=股票多头/指数增强/300指增",,
SSH955,玄元元增7号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,指数增强,300指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 300指增,股票多头 / 300指增,"玄元元增7号=股票多头/指数增强/300指增；玄元元增15号=股票多头/指数增强/1000指增；玄元元增10号=股票多头/指数增强/1000指增；玄元元增1号=股票多头/指数增强/500指增,基本面；玄元元增2号=股票多头/指数增强/500指增",,
STT228,玄元元中6号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,玄元元中6号=股票对冲/股票市场中性；玄元元中9号=股票对冲/股票市场中性,,
SZL028,玄元元中9号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,玄元元中9号=股票对冲/股票市场中性；玄元元中6号=股票对冲/股票市场中性,,
SARF15,玄元中证A500指数增强1号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,股票多头,指数增强,A500指增,高,团队数据已有团队策略；产品名含A500指增,股票多头 / 指数增强 / A500指增,股票多头 / A500指增,玄元中证A500指数增强1号=股票多头/指数增强/A500指增,,
SQW675,衍复1000指增三号私募证券投资基金,上海衍复投资管理有限公司,股票多头,指数增强,"1000指增,低频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,低频","股票多头 / 1000指增 / 低频,量价","衍复1000指增三号=股票多头/指数增强/1000指增,低频",,
SNP818,衍复300指增一号私募证券投资基金,上海衍复投资管理有限公司,股票多头,指数增强,"300指增,量价,中频",高,团队数据已有团队策略；产品名含300指增,"股票多头 / 指数增强 / 300指增,量价,中频","股票多头 / 300指增 / 中频,量价","衍复300指增一号=股票多头/指数增强/300指增,量价,中频",,
SJM688,衍复鲲鹏三号私募证券投资基金,上海衍复投资管理有限公司,股票多头,指数增强,"1000指增,量价,低频",高,团队数据已有团队策略,"股票多头 / 指数增强 / 1000指增,量价,低频","股票多头 / 1000指增 / 低频,量价","衍复鲲鹏三号=股票多头/指数增强/1000指增,量价,低频",,
SQD009,衍复天禄灵活对冲三号私募证券投资基金,上海衍复投资管理有限公司,股票对冲,股票市场中性,500中性,高,团队数据已有团队策略；产品名含对冲,股票对冲 / 股票市场中性 / 500中性,"股票对冲 / 股票市场中性 / 中频,500中性",衍复天禄灵活对冲三号=股票对冲/股票市场中性/500中性,,
SACH48,衍复小市值指数增强二号私募证券投资基金,上海衍复投资管理有限公司,股票多头,指数增强,,高,团队数据已有团队策略；产品名含指增/指数增强,股票多头 / 指数增强,股票多头 / 风格指增,衍复小市值指数增强二号=股票多头/指数增强；衍复小市值指数增强二号B类=股票多头/指数增强；衍复小市值指数增强二号A类=股票多头/指数增强,,
SLE911,衍复新动力增强一号私募证券投资基金,上海衍复投资管理有限公司,股票多头,指数增强,"500指增,量价,低频",高,团队数据已有团队策略,"股票多头 / 指数增强 / 500指增,量价,低频","股票多头 / 500指增 / 低频,量价","衍复新动力增强一号=股票多头/指数增强/500指增,量价,低频",,
SNH811,衍复兴享新动力指增一号私募证券投资基金,上海衍复投资管理有限公司,股票多头,指数增强,"500指增,量价,低频",高,团队数据已有团队策略；产品名含指增/指数增强,"股票多头 / 指数增强 / 500指增,量价,低频","股票多头 / 500指增 / 低频,量价","衍复兴享新动力指增一号=股票多头/指数增强/500指增,量价,低频",,
SLD565,衍复兆晟中性A号私募证券投资基金,上海衍复投资管理有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,衍复兆晟中性A号=股票对冲/股票市场中性,,
